ZipCode,City,State,Latitude,Longitude,Classification,Population
"00791","HUMACAO","PR","18.1380","-65.8190","","47260"
"00792","HUMACAO","PR","18.1519","-65.8279","P","0"
"00794","BARRANQUITAS","PR","18.2008","-66.3070","","28791"
"00795","JUANA DIAZ","PR","18.0173","-66.4933","","43745"
"00801","ST THOMAS","VI","18.3436","-64.9314","P","0"
"00802","ST THOMAS","VI","18.3436","-64.9322","","0"
"00803","ST THOMAS","VI","18.3436","-64.9314","P","0"
"00804","ST THOMAS","VI","18.3436","-64.9314","P","0"
"00805","ST THOMAS","VI","18.3436","-64.9314","P","0"
"00820","CHRISTIANSTED","VI","17.7454","-64.7034","","0"
"00821","CHRISTIANSTED","VI","17.7488","-64.7039","P","0"
"00822","CHRISTIANSTED","VI","17.7488","-64.7039","P","0"
"00823","CHRISTIANSTED","VI","17.7488","-64.7039","P","0"
"00824","CHRISTIANSTED","VI","17.7488","-64.7039","P","0"
"00830","ST JOHN","VI","18.3282","-64.7407","","0"
"00831","ST JOHN","VI","18.3333","-64.7943","P","0"
"00840","FREDERIKSTED","VI","17.7124","-64.8822","","0"
"00841","FREDERIKSTED","VI","17.7147","-64.8818","P","0"
"00850","KINGSHILL","VI","17.7230","-64.7830","","0"
"00851","KINGSHILL","VI","17.7253","-64.7836","P","0"
"00901","SAN JUAN","PR","18.4654","-66.1044","","6218"
"00902","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00906","SAN JUAN","PR","18.4646","-66.1008","P","165"
"00907","SAN JUAN","PR","18.4519","-66.0850","","16864"
"00908","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00909","SAN JUAN","PR","18.4411","-66.0661","","6987"
"00910","SAN JUAN","PR","18.4500","-66.0700","P","0"
"00911","SAN JUAN","PR","18.4514","-66.0579","","7496"
"00912","SAN JUAN","PR","18.4454","-66.0611","","5786"
"00913","SAN JUAN","PR","18.4504","-66.0444","","7261"
"00914","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00915","SAN JUAN","PR","18.4372","-66.0446","","25075"
"00916","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00917","SAN JUAN","PR","18.4212","-66.0494","","17319"
"00918","SAN JUAN","PR","18.4237","-66.0674","","17439"
"00919","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00920","SAN JUAN","PR","18.4161","-66.0896","","14798"
"00921","SAN JUAN","PR","18.3905","-66.0884","","32062"
"00922","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00923","SAN JUAN","PR","18.4114","-66.0340","","23607"
"00924","SAN JUAN","PR","18.4006","-66.0050","","49654"
"00925","SAN JUAN","PR","18.4033","-66.0478","","5501"
"00926","SAN JUAN","PR","18.3465","-66.0625","","96732"
"00927","SAN JUAN","PR","18.3876","-66.0720","","14297"
"00928","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00929","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00931","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00933","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00934","FORT BUCHANAN","PR","18.4130","-66.1198","","218"
"00935","SAN JUAN","PR","18.4683","-66.1061","U","0"
"00936","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00937","SAN JUAN","PR","18.4683","-66.1061","P","0"
"00939","SAN JUAN","PR","18.4683","-66.1061","U","0"
"00940","SAN JUAN","PR","18.4662","-66.1057","P","0"
"00949","TOA BAJA","PR","18.4371","-66.2163","","67453"
"00950","TOA BAJA","PR","18.4445","-66.2550","P","6"
"00951","TOA BAJA","PR","18.4456","-66.2600","P","430"
"00952","SABANA SECA","PR","18.4284","-66.1804","","8671"
"00953","TOA ALTA","PR","18.3578","-66.2581","","66369"
"00954","TOA ALTA","PR","18.3905","-66.2487","P","0"
"00955","SAN JUAN","PR","18.4697","-66.1179","P","0"
"00956","BAYAMON","PR","18.3230","-66.1730","","72353"
"00957","BAYAMON","PR","18.3672","-66.1851","","40540"
"00958","BAYAMON","PR","18.4008","-66.1589","P","0"
"00959","BAYAMON","PR","18.3925","-66.1582","","43625"
"00960","BAYAMON","PR","18.3931","-66.1548","P","2891"
"00961","BAYAMON","PR","18.4131","-66.1612","","28062"
"00962","CATANO","PR","18.4418","-66.1402","","19741"
"00963","CATANO","PR","18.4417","-66.1178","P","0"
"00965","GUAYNABO","PR","18.4300","-66.1199","","6168"
"00966","GUAYNABO","PR","18.3978","-66.1161","","16977"
"00968","GUAYNABO","PR","18.4140","-66.1084","","3722"
"00969","GUAYNABO","PR","18.3310","-66.1123","","38838"
"00970","GUAYNABO","PR","18.3592","-66.1103","P","0"
"00971","GUAYNABO","PR","18.3500","-66.1039","","28517"
"00975","SAN JUAN","PR","18.4683","-66.1064","U","0"
"00976","TRUJILLO ALTO","PR","18.3370","-65.9900","","59879"
"00977","TRUJILLO ALTO","PR","18.3569","-66.0076","P","0"
"00978","SAINT JUST","PR","18.3703","-66.0123","P","0"
"00979","CAROLINA","PR","18.4384","-66.0118","","14929"
"00981","CAROLINA","PR","18.4683","-66.1064","P","0"
"00982","CAROLINA","PR","18.4099","-65.9976","","14182"
"00983","CAROLINA","PR","18.4156","-65.9777","","31889"
"00984","CAROLINA","PR","18.3828","-65.9578","P","0"
"00985","CAROLINA","PR","18.4167","-65.9536","","31250"
"00986","CAROLINA","PR","18.3828","-65.9578","P","0"
"00987","CAROLINA","PR","18.3311","-65.9503","","58427"
"00988","CAROLINA","PR","18.3828","-65.9578","P","0"
"01001","AGAWAM","MA","42.0658","-72.6209","","16984"
"01002","AMHERST","MA","42.3729","-72.4509","","27558"
"01003","AMHERST","MA","42.3912","-72.5243","","13253"
"01004","AMHERST","MA","42.3736","-72.5209","P","0"
"01005","BARRE","MA","42.4208","-72.1062","","4900"
"01007","BELCHERTOWN","MA","42.2748","-72.4019","","15423"
"01008","BLANDFORD","MA","42.1870","-72.9561","","1317"
"01009","BONDSVILLE","MA","42.2075","-72.3496","P","980"
"01010","BRIMFIELD","MA","42.1266","-72.2046","","3711"
"01011","CHESTER","MA","42.2686","-72.9808","","1201"
"01012","CHESTERFIELD","MA","42.3848","-72.8472","","519"
"01013","CHICOPEE","MA","42.1608","-72.6034","","23656"
"01014","CHICOPEE","MA","42.1486","-72.6085","P","0"
"01020","CHICOPEE","MA","42.1776","-72.5626","","29781"
"01021","CHICOPEE","MA","42.1486","-72.6085","P","0"
"01022","CHICOPEE","MA","42.1956","-72.5425","","2158"
"01026","CUMMINGTON","MA","42.4410","-72.9156","","1011"
"01027","EASTHAMPTON","MA","42.2953","-72.7436","","17896"
"01028","EAST LONGMEADOW","MA","42.0617","-72.4988","","16417"
"01029","EAST OTIS","MA","42.1920","-73.0453","P","714"
"01030","FEEDING HILLS","MA","42.0705","-72.6752","","11708"
"01031","GILBERTVILLE","MA","42.3277","-72.1866","","1406"
"01032","GOSHEN","MA","42.4542","-72.8237","","483"
"01033","GRANBY","MA","42.2579","-72.5057","","6092"
"01034","GRANVILLE","MA","42.0924","-72.9497","","1977"
"01035","HADLEY","MA","42.3563","-72.5850","","5325"
"01036","HAMPDEN","MA","42.0730","-72.4166","","4966"
"01037","HARDWICK","MA","42.3787","-72.1922","P","706"
"01038","HATFIELD","MA","42.3863","-72.6059","","2522"
"01039","HAYDENVILLE","MA","42.4112","-72.6889","","1511"
"01040","HOLYOKE","MA","42.2227","-72.6405","","38238"
"01041","HOLYOKE","MA","42.2043","-72.6167","P","0"
"01050","HUNTINGTON","MA","42.2709","-72.9032","","2467"
"01053","LEEDS","MA","42.3522","-72.7155","","2031"
"01054","LEVERETT","MA","42.4754","-72.4876","","1889"
"01056","LUDLOW","MA","42.1920","-72.4587","","21002"
"01057","MONSON","MA","42.0955","-72.3129","","8152"
"01059","NORTH AMHERST","MA","42.3738","-72.5205","P","0"
"01060","NORTHAMPTON","MA","42.3296","-72.6251","","14461"
"01061","NORTHAMPTON","MA","42.3251","-72.6418","P","0"
"01062","FLORENCE","MA","42.3301","-72.6927","","10910"
"01062","NORTHAMPTON","MA","42.3301","-72.6927","","10910"
"01063","NORTHAMPTON","MA","42.3182","-72.6377","U","2106"
"01066","NORTH HATFIELD","MA","42.4107","-72.6253","P","215"
"01068","OAKHAM","MA","42.3533","-72.0514","","1904"
"01069","PALMER","MA","42.1921","-72.3077","","8428"
"01070","PLAINFIELD","MA","42.5196","-72.9252","","577"
"01071","RUSSELL","MA","42.1692","-72.8545","","1486"
"01072","SHUTESBURY","MA","42.4630","-72.4200","","1366"
"01073","SOUTHAMPTON","MA","42.2306","-72.7410","","6224"
"01074","SOUTH BARRE","MA","42.3824","-72.0998","P","584"
"01075","SOUTH HADLEY","MA","42.2586","-72.5759","","18168"
"01077","SOUTHWICK","MA","42.0499","-72.7722","","9237"
"01079","THORNDIKE","MA","42.1968","-72.3271","P","701"
"01080","THREE RIVERS","MA","42.1783","-72.3705","","2400"
"01081","WALES","MA","42.0618","-72.2314","","1684"
"01082","WARE","MA","42.2889","-72.2776","","10565"
"01083","WARREN","MA","42.2030","-72.1974","P","2549"
